City,Country,City Latitude,City Longitude,Max Temperature(C),Humidity(%),Wind Speed(mps),Cloud Coverage(%),CityDateTime
vila franca do campo,PT,40.232631254536415,-22.651033736676567,18.0,68.0,7.7,20.0,2020-04-10 18:09:58
tiquisio,CO,8.303543677033488,-74.19706860484708,36.0,48.0,0.42,100.0,2020-04-10 18:09:59
ngunguru,NZ,-33.97320094581483,176.5911091265233,9.44,93.0,2.73,2.0,2020-04-10 18:09:59
pachino,IT,36.65514318710909,15.031194851909845,16.0,51.0,2.6,13.0,2020-04-10 18:09:05
longyearbyen,SJ,88.22390222902058,29.12721789694325,-16.0,59.0,3.1,20.0,2020-04-10 18:07:39
nanortalik,GL,54.59228537891693,-39.5220571098242,2.44,78.0,3.6,100.0,2020-04-10 18:07:51
choma,ZM,-17.1209051898078,26.856460488894527,16.19,63.0,1.45,40.0,2020-04-10 18:09:59
mumford,GH,2.324401006949728,0.5847401964101948,28.37,77.0,2.6,64.0,2020-04-10 18:09:59
angoram,PG,-3.5927031672113827,145.1998833479392,23.52,96.0,0.74,90.0,2020-04-10 18:09:59
batagay-alyta,RU,67.24621879434858,127.14830192981799,-7.21,85.0,3.28,46.0,2020-04-10 18:10:00
zalakomar,HU,46.59601873930754,17.10251183894104,18.0,39.0,2.6,1.0,2020-04-10 18:10:00
isagarh,IN,24.76349281255159,77.99585384213219,27.45,16.0,2.12,9.0,2020-04-10 18:10:00
brae,GB,63.805188387359806,-2.4606057019964567,8.0,93.0,4.1,100.0,2020-04-10 18:10:00
rossland,CA,48.61193241291929,-117.73911972925858,15.0,39.0,0.45,75.0,2020-04-10 18:10:00
palu,ID,-0.5986226997429753,120.00349419264035,24.27,79.0,0.71,4.0,2020-04-10 18:07:07
nalut,LY,31.038468082276893,8.722561164444983,22.78,23.0,3.4,93.0,2020-04-10 18:10:01
bukavu,CD,-2.666002544033077,28.885933713761204,16.98,60.0,1.23,68.0,2020-04-10 18:10:01
goderich,SL,3.9057858147350117,-19.65647554739425,2.78,83.0,7.15,84.0,2020-04-10 18:10:01
aklavik,CA,76.8920910994151,-141.65329918436072,-10.0,56.0,4.6,40.0,2020-04-10 18:10:01
abu samrah,QA,20.025259683196396,49.6370873928405,12.29,66.0,7.08,13.0,2020-04-10 18:10:02
pak phanang,TH,8.738728124489228,101.59835168541593,26.94,76.0,2.11,71.0,2020-04-10 18:10:06
kenai,US,65.75764981193254,-153.7039323372482,-1.67,72.0,2.6,1.0,2020-04-10 18:10:06
kimbe,PG,-4.736136688067091,149.9142371704644,24.23,86.0,1.45,65.0,2020-04-10 18:10:06
myitkyina,MM,26.522720155482872,97.24707295909838,22.74,39.0,1.39,0.0,2020-04-10 18:10:07
berbera,SO,10.794639673259468,45.65050437802847,28.8,74.0,2.14,45.0,2020-04-10 18:10:07
gat,LY,23.588329208087046,7.63983293036182,16.0,77.0,2.1,75.0,2020-04-10 18:06:04
ilulissat,GL,83.76013108998438,-40.535190788201675,2.0,55.0,2.6,20.0,2020-04-10 18:10:07
flinders,AU,-32.338556319770255,134.70474206749753,17.78,63.0,7.7,0.0,2020-04-10 18:10:07
port blair,IN,13.003303143899174,89.44783920856247,27.95,70.0,3.46,75.0,2020-04-10 18:07:12
poykovskiy,RU,62.210452783332755,73.10627428661155,4.0,60.0,5.0,98.0,2020-04-10 18:10:08
nioro,ML,17.291837634813376,-10.816888899562116,40.1,9.0,2.77,0.0,2020-04-10 18:10:08
mattru,SL,4.086412456416255,-13.751108514628754,30.36,65.0,2.73,75.0,2020-04-10 18:10:08
kortkeros,RU,62.118854221395225,52.44922941352766,0.0,92.0,4.0,90.0,2020-04-10 18:10:08
viedma,AR,-43.28011055672176,-62.03964401693713,25.34,28.0,9.39,0.0,2020-04-10 18:09:33
esperance,AU,-34.739814176173724,123.21934660108121,16.0,87.0,2.6,75.0,2020-04-10 18:10:08
katobu,ID,-6.2992301410645695,124.8269754847405,24.05,88.0,0.7,38.0,2020-04-10 18:10:08
port macquarie,AU,-33.792378910106905,159.98270670308966,15.0,100.0,2.1,90.0,2020-04-10 18:10:09
chabahar,IR,25.101322626018515,61.007764320228006,26.92,62.0,1.13,16.0,2020-04-10 18:10:09
sur,OM,16.918930606791463,64.04433802513611,29.18,57.0,4.39,85.0,2020-04-10 18:10:09
ostrovnoy,RU,73.08266736902658,43.04395673237866,-9.68,95.0,4.16,34.0,2020-04-10 18:10:09
palmer,US,60.995306409782046,-147.76315078416488,9.44,45.0,7.2,75.0,2020-04-10 18:10:09
krasnoselkup,RU,62.67003947130155,83.21017927292519,0.91,96.0,9.06,100.0,2020-04-10 18:10:10
matagami,CA,51.91050754171542,-77.46463961712027,0.0,86.0,7.7,75.0,2020-04-10 18:10:10
mitsamiouli,KM,-7.004972941068928,46.782671545665806,29.38,72.0,4.46,52.0,2020-04-10 18:10:10
charters towers,AU,-21.38785797731768,142.99485305126228,20.36,85.0,1.8,88.0,2020-04-10 18:10:10
vestmannaeyjar,IS,59.83839133371572,-17.17272233027714,5.79,87.0,9.06,100.0,2020-04-10 18:08:06
izmit,TR,40.55418634844759,30.204964781743,12.78,75.0,0.87,0.0,2020-04-10 18:10:10
tottori,JP,38.27865574013467,134.10886487421897,6.15,64.0,0.5,99.0,2020-04-10 18:10:10
faya,TD,18.89405136308538,20.321768323381463,20.0,77.0,5.1,40.0,2020-04-10 18:10:11
uniontown,US,39.55094052257243,-79.34227627905423,5.56,44.0,4.1,90.0,2020-04-10 18:08:20
leku,ET,6.799237657245186,38.198264743350194,18.61,45.0,1.72,72.0,2020-04-10 18:10:11
saint-georges,GF,8.097585208802727,-44.07078210976218,30.0,70.0,8.7,20.0,2020-04-10 18:10:11
derzhavinsk,KZ,49.95651042494629,65.17685842821987,5.56,60.0,1.35,3.0,2020-04-10 18:10:11
grindavik,IS,53.892454469226124,-27.874248790332928,4.0,93.0,7.2,90.0,2020-04-10 18:10:11
llanes,ES,44.53683965700597,-4.601799625058533,17.22,97.0,0.71,98.0,2020-04-10 18:10:11
otavi,NA,-19.56225666090505,17.353397749283573,20.16,44.0,3.5,15.0,2020-04-10 18:10:11
tecpan,MX,14.347746157346492,-102.23766910447702,29.0,45.0,5.1,20.0,2020-04-10 18:10:12
airai,PW,11.556664766973356,140.62942486244253,15.65,72.0,0.26,42.0,2020-04-10 18:08:10
kasangulu,CD,-5.311034528331177,16.182032871223328,23.0,100.0,2.1,90.0,2020-04-10 18:10:12
auki,SB,-8.175020720830588,160.67224558299728,27.05,78.0,1.78,3.0,2020-04-10 18:10:12
cherskiy,RU,78.18027561253592,164.1575358067917,-16.16,87.0,10.51,62.0,2020-04-10 18:10:12
caravelas,BR,-21.54808414641495,-24.220860591199454,26.49,80.0,6.56,62.0,2020-04-10 18:10:12
vaasa,FI,63.699284798304944,21.228265248889073,2.0,64.0,2.6,37.0,2020-04-10 18:10:12
isangel,VU,-15.83747957511821,174.9093237156917,24.16,67.0,3.5,59.0,2020-04-10 18:10:12
rafaela,AR,-30.395860406109165,-61.01974326882484,26.67,32.0,1.34,0.0,2020-04-10 18:10:13
ushumun,RU,52.60903343090766,126.39400431381068,0.12,83.0,1.12,0.0,2020-04-10 18:10:13
rumuruti,KE,0.20336665787672814,36.68596239680937,17.9,43.0,3.76,98.0,2020-04-10 18:10:13
senanga,ZM,-16.87620783742716,22.414974029536268,20.59,59.0,3.98,99.0,2020-04-10 18:10:13
illintsi,UA,49.0261517303081,29.03965667509246,9.0,26.0,4.0,13.0,2020-04-10 18:10:13
clyde river,CA,69.46122641106385,-71.85960009486905,-11.0,85.0,10.8,90.0,2020-04-10 18:09:56
iqaluit,CA,58.093800473042535,-74.21394190881156,-12.0,72.0,1.5,40.0,2020-04-10 18:10:13
gulariya,NP,28.10993374971713,81.27829298824173,25.56,81.0,4.02,4.0,2020-04-10 18:10:14
kirkuk,IQ,35.59264868792444,45.123564205809714,16.14,48.0,3.52,61.0,2020-04-10 18:10:14
kirgiz-miyaki,RU,53.673412023561326,54.9880929158262,3.26,67.0,4.62,0.0,2020-04-10 18:10:14
bandarbeyla,SO,9.646050279085657,53.904028510587835,27.45,66.0,5.26,0.0,2020-04-10 18:10:14
lavrentiya,RU,69.64171506974185,-168.32013696639913,-14.55,91.0,4.44,98.0,2020-04-10 18:10:14
tabou,CI,5.026253490621173,-7.326988673111572,28.47,74.0,3.22,31.0,2020-04-10 18:10:14
roald,NO,64.65002302389857,5.648950847691651,6.11,75.0,4.6,75.0,2020-04-10 18:10:15
belmonte,BR,-18.737504654187987,-26.263852798027358,25.0,94.0,3.1,75.0,2020-04-10 18:10:15
bukachacha,RU,53.421658035483745,117.03919462476489,0.1,66.0,1.65,0.0,2020-04-10 18:10:15
hambantota,LK,-3.193646182200368,85.65470058756966,27.53,80.0,4.86,8.0,2020-04-10 18:06:05
sinnamary,GF,13.279181786634183,-49.97921739390114,27.87,73.0,5.82,81.0,2020-04-10 18:10:15
qaqortoq,GL,63.9539775066244,-46.144446472297716,6.0,26.0,18.5,100.0,2020-04-10 18:10:15
merauke,ID,-6.80777404748693,138.2798211420327,24.97,90.0,4.38,99.0,2020-04-10 18:10:15
ingham,AU,-19.149024002168346,144.5432309735226,6.11,48.0,6.2,90.0,2020-04-10 18:10:15
bjornevatn,NO,69.45009506982299,29.17409625107794,-4.0,79.0,10.8,95.0,2020-04-10 18:10:15
clarksburg,US,38.66735545700732,-80.40593910695817,8.0,33.0,7.2,90.0,2020-04-10 18:10:16
kanniyakumari,IN,7.213141112880933,77.8505383746546,29.07,68.0,2.57,0.0,2020-04-10 18:10:10
yemtsa,RU,63.127124257994296,40.356240189485106,-5.29,95.0,1.5,71.0,2020-04-10 18:10:16
cockburn town,BS,26.991462302190214,-73.42925315266251,25.92,74.0,1.04,9.0,2020-04-10 18:08:14
putina,PE,-15.331517342520783,-69.25740052723965,8.56,22.0,2.55,26.0,2020-04-10 18:10:16
maragogi,BR,-12.61254418238532,-30.43903893060454,30.02,62.0,4.86,0.0,2020-04-10 18:10:16
werda,BW,-25.838265503088536,24.12811514768586,23.32,36.0,2.64,80.0,2020-04-10 18:10:16
kavieng,PG,-3.4446775980854483,150.5242032737105,28.47,76.0,2.94,100.0,2020-04-10 18:10:16
tarko-sale,RU,65.24635806430189,78.31678470952932,-1.67,81.0,7.74,100.0,2020-04-10 18:10:17
dmitriyevka,RU,54.41037449844788,55.22086269495037,7.0,45.0,5.0,14.0,2020-04-10 18:10:17
normandin,CA,48.43652031584239,-73.92335247276205,4.0,44.0,6.7,75.0,2020-04-10 18:10:17
mount isa,AU,-19.083470096683413,141.59170161688405,23.0,35.0,5.7,65.0,2020-04-10 18:10:17
marsassoum,SN,13.085069162712884,-16.049393571620755,36.0,39.0,5.1,0.0,2020-04-10 18:10:17
adet,ET,11.09184058677431,37.967836424387315,17.68,42.0,2.33,95.0,2020-04-10 18:10:17
weatherford,US,35.45992473362101,-98.43760381676206,22.0,32.0,5.1,1.0,2020-04-10 18:05:58
matcha,TJ,40.35735318792723,69.2674507131822,5.59,72.0,1.77,99.0,2020-04-10 18:10:17
kushima,JP,29.613951203400205,131.05415098335857,10.56,66.0,3.58,98.0,2020-04-10 18:10:17
hervey bay,AU,-21.896179075100008,155.977993143155,20.56,100.0,0.5,66.0,2020-04-10 18:10:18
bone,ID,-4.294033378524574,120.26770932960761,15.0,50.0,3.1,77.0,2020-04-10 18:10:19
gambela,ET,7.076103133103487,33.966169895303096,28.06,47.0,0.82,47.0,2020-04-10 18:10:19
barkhan,PK,30.195198719406818,69.9131960812204,21.92,34.0,1.24,84.0,2020-04-10 18:10:19
asau,TV,-7.795896179141863,177.5784079388747,15.0,26.0,5.1,92.0,2020-04-10 18:10:19
san lazaro,PY,-21.919794620728865,-58.248480114055894,31.0,66.0,7.7,40.0,2020-04-10 18:10:19
majene,ID,-4.223991191997072,118.45880266392277,25.73,84.0,1.65,6.0,2020-04-10 18:07:07
meulaboh,ID,0.4225890429314916,93.87316786192093,26.33,84.0,2.05,92.0,2020-04-10 18:10:19
sovetskaya gavan,RU,48.25925724909027,140.03633971290776,-2.11,92.0,7.97,64.0,2020-04-10 18:10:19
markova,RU,57.54134748143434,106.54280491918786,10.0,31.0,4.0,30.0,2020-04-10 18:10:20
timbo,BR,-26.636686759949846,-49.36261422254407,25.56,57.0,4.1,40.0,2020-04-10 18:08:21
ternate,ID,3.6929134187966497,130.590513730341,26.32,83.0,2.18,0.0,2020-04-10 18:10:20
alegrete,BR,-30.116533283154112,-55.77210073157731,23.16,38.0,4.36,0.0,2020-04-10 18:10:20
ukiah,US,36.651879156976634,-128.2004615242642,16.67,63.0,2.1,1.0,2020-04-10 18:10:20
forestville,CA,49.74607972412906,-69.67272600952934,11.11,34.0,9.8,75.0,2020-04-10 18:10:21
resistencia,AR,-28.053811802984406,-59.67666418585554,26.11,41.0,3.6,1.0,2020-04-10 18:07:06
dauphin,CA,51.34311263758531,-98.76864150214769,9.0,55.0,6.2,1.0,2020-04-10 18:09:45
kasongo,CD,-4.533148978327617,27.11897744304241,23.14,79.0,1.52,55.0,2020-04-10 18:10:21
kutum,SD,17.493530915369533,23.26847865739208,26.86,13.0,3.83,20.0,2020-04-10 18:10:21
tura,RU,68.9163265838128,98.00776535099897,23.23,35.0,2.03,0.0,2020-04-10 18:08:01
vostok,RU,50.879018209571484,151.92715594157812,-3.17,84.0,1.34,84.0,2020-04-10 18:10:21
lumsden,CA,50.65610837709747,-105.12165574964857,9.0,39.0,3.6,75.0,2020-04-10 18:10:22
manadhoo,MV,5.957504410323423,75.15053376420016,29.48,70.0,2.22,26.0,2020-04-10 18:10:22
margate,ZA,-33.54993827329808,32.28610968101651,17.22,76.0,3.1,46.0,2020-04-10 18:10:22
yurimaguas,PE,-5.70458010605239,-76.19853196519213,27.0,83.0,1.5,75.0,2020-04-10 18:10:22
kurchum,KZ,48.27408161362135,84.36302790250795,1.94,66.0,2.93,0.0,2020-04-10 18:10:22
gibara,CU,21.569089791951114,-76.19679659485146,34.0,32.0,2.6,0.0,2020-04-10 18:10:22
bowen,AU,-18.491161983834786,150.140233165386,21.67,94.0,1.0,90.0,2020-04-10 18:07:51
namie,JP,36.480901616173,145.02513531672014,4.44,74.0,2.91,0.0,2020-04-10 18:10:23
togitsu,JP,32.68817436567642,129.73450245778082,11.54,58.0,2.01,79.0,2020-04-10 18:10:23
outjo,NA,-20.726958504996347,16.037632138513686,20.0,77.0,0.5,67.0,2020-04-10 18:10:23
santa isabel do rio negro,BR,-0.8761680365752369,-65.85561804329572,28.77,81.0,1.69,71.0,2020-04-10 18:10:23
belyy yar,RU,61.495498578223305,84.11851143665956,-4.0,92.0,0.6,75.0,2020-04-10 18:10:23
zhigansk,RU,69.83963638282458,122.58231644757501,-5.39,94.0,6.05,45.0,2020-04-10 18:10:23
jiwani,PK,23.593061690360642,61.94955123770336,26.4,73.0,3.23,7.0,2020-04-10 18:10:24
krapivinskiy,RU,55.26787030445715,86.8003882997669,1.0,59.0,3.0,30.0,2020-04-10 18:10:24
mangai,CD,-3.204316147149868,19.958622499842193,23.13,84.0,1.32,80.0,2020-04-10 18:10:24
urumqi,CN,44.934290355382814,88.97064236597254,9.0,45.0,1.0,100.0,2020-04-10 18:10:24
quang ngai,VN,15.90670205464437,110.00810168452864,24.26,88.0,1.5,92.0,2020-04-10 18:07:00
bac lieu,VN,6.522196091407935,108.78747664371627,27.48,75.0,5.3,98.0,2020-04-10 18:09:53
uglovskoye,RU,50.97359375787738,79.59269832024466,3.0,68.0,3.49,13.0,2020-04-10 18:10:25
westport,IE,55.09042973276294,-13.315140879170912,10.0,34.0,11.8,75.0,2020-04-10 18:10:25
taitung,TW,21.923207067693767,122.31745895554116,20.88,68.0,1.88,88.0,2020-04-10 18:07:43
guia lopes da laguna,BR,-21.802840778767475,-55.77292099641548,28.4,30.0,2.01,0.0,2020-04-10 18:10:25
nikolskoye,RU,48.07619906073904,178.37695439267242,2.0,93.0,2.0,75.0,2020-04-10 18:10:25
takab,IR,36.31868709451672,47.11688186000546,6.51,40.0,2.18,12.0,2020-04-10 18:10:26
broome,AU,-23.19406089899566,123.8309622452361,2.78,74.0,7.2,90.0,2020-04-10 18:10:26
berlevag,NO,78.37352978336861,30.75979024068883,-2.36,90.0,7.76,100.0,2020-04-10 18:10:26
te anau,NZ,-42.959138195274924,159.4580306068877,7.77,72.0,2.08,11.0,2020-04-10 18:08:36
praya,ID,-14.603995823115113,115.48097726660183,30.0,42.0,7.7,0.0,2020-04-10 18:10:26
bonthe,SL,6.5150377346366355,-14.088940118092466,29.12,76.0,4.72,55.0,2020-04-10 18:07:43
surt,LY,32.00278963909753,17.720645885393793,16.17,49.0,4.89,0.0,2020-04-10 18:07:03
ocos,GT,10.628373580923494,-95.20075575568433,35.0,39.0,5.1,5.0,2020-04-10 18:10:27
big rapids,US,43.38401677055279,-85.21751261065872,5.0,44.0,5.1,90.0,2020-04-10 18:10:27
pierre,US,45.28088750448231,-100.83849436222582,12.0,27.0,3.6,1.0,2020-04-10 18:10:27
chapais,CA,54.65452307891073,-72.64265491204975,4.0,35.0,7.2,75.0,2020-04-10 18:10:27
ugoofaaru,MV,5.402903117921639,63.154748846583686,29.32,71.0,2.28,15.0,2020-04-10 18:05:42
leh,IN,34.499315823372925,78.72587620659533,0.23,18.0,1.24,15.0,2020-04-10 18:10:27
werdau,DE,50.7663541321954,12.343143134714893,14.44,50.0,3.6,93.0,2020-04-10 18:10:27
yuzhno-kurilsk,RU,43.29388678113207,146.77717629549358,-1.75,93.0,6.85,7.0,2020-04-10 18:10:27
osakarovka,KZ,50.689616592815554,72.38432348541912,1.62,67.0,3.38,0.0,2020-04-10 18:10:28
redmond,US,44.49941044409536,-121.30653982634348,15.56,58.0,1.02,1.0,2020-04-10 18:07:02
bireun,ID,5.26957247660836,96.67262074989156,26.37,76.0,1.8,91.0,2020-04-10 18:10:28
nantucket,US,40.26346397124968,-69.47917120777005,10.0,49.0,15.4,20.0,2020-04-10 18:09:49
lampazos de naranjo,MX,27.069955452775332,-100.69120917185329,25.07,62.0,3.88,100.0,2020-04-10 18:10:28
williston,US,48.341289508933244,-103.71851397592377,10.0,25.0,2.6,1.0,2020-04-10 18:10:29
monywa,MM,22.24844246883866,95.48510916659194,30.51,25.0,1.11,54.0,2020-04-10 18:10:29
severodvinsk,RU,65.15428689715137,39.74606678520999,-5.0,73.0,1.0,8.0,2020-04-10 18:10:29
wuda,CN,38.8044012164992,107.93232888465525,4.84,35.0,3.01,0.0,2020-04-10 18:10:29
batemans bay,AU,-40.74604707170882,154.0969115107461,11.67,87.0,5.01,0.0,2020-04-10 18:10:29
acari,PE,-20.759973897959625,-76.64705356492934,27.34,52.0,4.37,58.0,2020-04-10 18:10:29
nome,US,65.8731343428662,-161.234402937615,-4.0,79.0,2.76,90.0,2020-04-10 18:10:29
ambunti,PG,-4.8613677675306235,142.33090762176948,23.24,96.0,0.71,99.0,2020-04-10 18:10:29
axim,GH,-1.9759046833281673,-2.779454562955266,28.73,76.0,2.72,73.0,2020-04-10 18:10:29
saint-pierre,RE,-22.631995845449822,54.74796471440024,26.0,74.0,7.2,20.0,2020-04-10 18:08:17
pozhva,RU,59.37462730442866,56.13106156161027,5.49,78.0,6.23,100.0,2020-04-10 18:10:30
jerez,GT,14.064171685922332,-89.77725414464666,34.0,44.0,2.1,86.0,2020-04-10 18:10:30
konstantinovka,RU,48.94910948620702,127.72775918705167,2.95,76.0,4.03,0.0,2020-04-10 18:10:30
sturgis,US,41.63603364948952,-85.46831585043074,6.11,52.0,6.2,90.0,2020-04-10 18:10:30
lompoc,US,25.695955528378434,-133.26454560044357,17.78,81.0,2.86,1.0,2020-04-10 18:08:19
kondapalle,IN,16.616347801204512,80.59768987550046,25.28,70.0,2.24,40.0,2020-04-10 18:10:30
canto do buriti,BR,-8.565938022711705,-43.025998417614005,30.77,59.0,1.2,87.0,2020-04-10 18:10:30
katangli,RU,52.584597364846786,144.9755435307702,-4.78,97.0,3.83,100.0,2020-04-10 18:10:31
calama,CL,-23.70678209030281,-69.04929284652458,24.0,22.0,9.3,0.0,2020-04-10 18:10:31
rorvik,NO,67.86484680078945,8.66443387494786,3.33,76.0,7.42,78.0,2020-04-10 18:10:31
madera,MX,28.771909898426514,-107.88336104540527,17.0,72.0,3.6,40.0,2020-04-10 18:09:09
tshikapa,CD,-6.67895409075571,19.761358137517334,23.18,77.0,0.79,99.0,2020-04-10 18:10:31
great yarmouth,GB,53.337021109689005,1.761733586047768,15.56,62.0,4.1,93.0,2020-04-10 18:08:00
puerto baquerizo moreno,EC,2.458354753995849,-89.25279471205522,30.0,70.0,2.1,40.0,2020-04-10 18:10:32
lobito,AO,-12.08486420114346,13.185815555554171,24.0,88.0,0.7,75.0,2020-04-10 18:10:32
tibu,CO,9.135831452205835,-72.90434212380347,33.69,50.0,1.43,95.0,2020-04-10 18:10:32
ginda,ER,16.737349113515776,38.903780709542445,10.8,26.0,2.83,43.0,2020-04-10 18:10:33
salalah,OM,17.426701978974705,49.743845209416264,28.0,74.0,2.1,20.0,2020-04-10 18:10:33
pecos,US,31.14454744378392,-102.80099266056902,19.0,63.0,3.6,90.0,2020-04-10 18:10:33
constitucion,MX,20.123616995544666,-115.70421806760726,17.41,58.0,2.9,11.0,2020-04-10 18:08:37
jinka,ET,4.420490602451565,36.82485338887892,20.83,51.0,2.4,72.0,2020-04-10 18:10:33
daru,PG,-8.97728987470758,143.66630846254202,25.42,83.0,3.0,99.0,2020-04-10 18:06:01
farafangana,MG,-23.93686117225444,50.771741924477084,24.19,84.0,5.32,88.0,2020-04-10 18:10:33
morehead,PG,-8.362925229227812,141.14924674647364,10.56,31.0,3.6,1.0,2020-04-10 18:10:33
sakaiminato,JP,36.342145537419825,133.40694456843084,4.0,93.0,2.1,75.0,2020-04-10 18:10:34
tessalit,ML,21.681663286754656,-0.21424928310273117,35.82,8.0,3.54,75.0,2020-04-10 18:10:34
sawakin,SD,20.341150954585856,37.80487143352329,24.66,65.0,5.46,21.0,2020-04-10 18:10:34
yokadouma,CM,2.7597043610747107,15.423006041772112,26.79,55.0,1.04,85.0,2020-04-10 18:10:34
suntar,RU,61.1031807615943,118.07916733371468,-1.86,96.0,2.34,24.0,2020-04-10 18:10:34
male,MV,4.145184122479819,73.28553476460337,30.0,74.0,0.5,40.0,2020-04-10 18:08:03
rundu,NA,-19.57377998240341,19.848898253536476,22.0,78.0,1.5,56.0,2020-04-10 18:10:34
deputatskiy,RU,72.58598908921991,141.8683625197266,-10.06,89.0,3.15,46.0,2020-04-10 18:10:35
yantal,RU,58.797616153814715,105.66347659184765,3.39,81.0,1.38,96.0,2020-04-10 18:10:35
paka,MY,5.494607704726349,106.50424499505823,23.0,100.0,0.72,10.0,2020-04-10 18:10:35
hameln,DE,51.98812590001552,9.436649166242375,13.0,40.0,2.1,94.0,2020-04-10 18:10:35
uruana,BR,-15.425171557327857,-49.63341297706464,28.83,57.0,1.72,19.0,2020-04-10 18:10:35
mbala,ZM,-9.057956530385539,31.686679599801266,16.64,60.0,2.93,79.0,2020-04-10 18:10:35
havoysund,NO,71.21098198348898,25.083500487207885,-3.0,86.0,3.1,100.0,2020-04-10 18:10:35
komatipoort,ZA,-25.16614644819741,32.14514244758536,22.22,77.0,1.0,8.0,2020-04-10 18:10:35
opuwo,NA,-17.99947311250226,13.623987864343718,24.81,34.0,1.97,52.0,2020-04-10 18:10:35
dawlatabad,AF,36.21603585292331,65.0584835105478,16.37,49.0,1.77,97.0,2020-04-10 18:10:36
asyut,EG,27.103648457093428,31.286278996236547,25.0,23.0,4.6,0.0,2020-04-10 18:08:28
andenes,NO,69.46845818378713,16.27055353138877,-1.0,80.0,7.7,97.0,2020-04-10 18:10:36
trincomalee,LK,9.128498279374725,82.7441117210114,27.38,74.0,4.0,12.0,2020-04-10 18:10:36
xai-xai,MZ,-27.48467765826352,35.765222473927736,21.16,75.0,3.48,4.0,2020-04-10 18:10:36
chapada dos guimaraes,BR,-15.30581692405869,-55.54127223736556,31.0,45.0,2.6,40.0,2020-04-10 18:10:36
kostomuksha,RU,64.88934483754542,29.95759749837623,-3.3,94.0,2.78,100.0,2020-04-10 18:10:37
grenfell,CA,50.53155095921443,-102.84904850964823,11.34,79.0,2.42,2.0,2020-04-10 18:10:37
mangrol,IN,19.939588376892914,68.75553514693982,25.88,68.0,4.71,0.0,2020-04-10 18:10:37
yabrud,SY,33.886546206956154,36.59778461859125,12.0,62.0,3.1,75.0,2020-04-10 18:10:37
palma di montechiaro,IT,36.447452697636436,13.348646724724404,16.67,100.0,2.68,0.0,2020-04-10 18:10:37
elhovo,BG,42.22995905847105,26.537677693507135,20.0,22.0,5.1,5.0,2020-04-10 18:10:37
mandalgovi,MN,43.48282122959992,107.73790947133227,3.39,34.0,3.0,1.0,2020-04-10 18:10:37
nizwa,OM,19.911705258898053,56.68689202671732,30.79,19.0,3.18,100.0,2020-04-10 18:10:37
tupelo,US,34.466354813451616,-89.00974323932947,13.89,34.0,5.7,1.0,2020-04-10 18:06:15
coahuayana,MX,-1.2967337742826572,-113.04372351544887,33.0,21.0,2.6,5.0,2020-04-10 18:10:38
ketou,BJ,7.576786062820744,2.751752129191715,32.97,40.0,1.11,78.0,2020-04-10 18:10:38
pasni,PK,25.48712277310908,63.67378082318251,27.41,58.0,2.32,0.0,2020-04-10 18:10:38
kaiwaka,NZ,-35.983503229269395,174.73084020959521,7.22,93.0,1.26,33.0,2020-04-10 18:10:38
alekseyevsk,RU,57.149340954037655,109.36191185589428,1.28,84.0,1.98,85.0,2020-04-10 18:10:38
tual,ID,-5.449391113606154,132.28742072042456,28.28,76.0,4.36,91.0,2020-04-10 18:10:38
avera,PF,-23.424380289974863,-150.94325808215916,20.0,23.0,5.7,1.0,2020-04-10 18:10:39
bunia,CD,1.1765760453997842,30.371716519195303,21.97,50.0,0.54,45.0,2020-04-10 18:10:39
marrakesh,MA,29.756315333518216,-5.244774526642999,28.0,32.0,3.1,20.0,2020-04-10 18:10:39
morro bay,US,34.7256353938658,-121.53219916466378,17.78,71.0,1.56,20.0,2020-04-10 18:10:39
fare,PF,-14.607300246203863,-149.16651209824948,28.6,75.0,4.0,55.0,2020-04-10 18:10:39
huarmey,PE,-14.442074005210245,-88.27838000271225,27.72,59.0,4.64,76.0,2020-04-10 18:10:40
iquitos,PE,-2.7534133827608542,-74.2845800657376,30.0,70.0,1.5,75.0,2020-04-10 18:08:09
beloha,MG,-26.409761346037143,44.44890297497494,22.34,76.0,8.59,41.0,2020-04-10 18:10:40
zaterechnyy,RU,44.867416961742975,45.19857725039395,7.08,65.0,4.16,0.0,2020-04-10 18:10:41
sao filipe,CV,6.388666637118845,-28.0113095007745,24.97,69.0,5.75,0.0,2020-04-10 18:10:41
puerto carreno,CO,7.143981145459577,-65.56698168986635,32.0,55.0,3.1,75.0,2020-04-10 18:10:41
yerbogachen,RU,61.512306481458836,106.50638676581548,-0.74,88.0,1.54,91.0,2020-04-10 18:10:41
port hardy,CA,50.11718714280042,-130.72709678674,10.0,76.0,5.7,75.0,2020-04-10 18:00:25
centralia,US,46.51452394484659,-122.89327820232704,13.89,76.0,1.22,90.0,2020-04-10 18:09:14
kharitonovo,RU,61.997308176623136,47.80216596424967,-1.4,96.0,3.53,100.0,2020-04-10 18:10:41
along,IN,30.914788038069887,95.19330073038134,18.19,49.0,2.02,15.0,2020-04-10 18:10:42
sorland,NO,73.23826203250766,4.941405381518962,1.21,80.0,7.6,100.0,2020-04-10 18:10:42
kisangani,CD,0.6184562039172334,25.732155707592824,25.27,68.0,0.57,65.0,2020-04-10 18:10:42
bandar,ID,1.5770454151968636,99.95441019458622,23.87,85.0,0.91,71.0,2020-04-10 18:10:42
